iter	Passed	Remaining
134	8727	55921
135	8806	55950
136	8880	55942
137	8927	55761
138	8988	55678
139	9044	55557
140	9102	55456
141	9154	55314
142	9209	55192
143	9286	55202
144	9337	55057
145	9440	55221
146	9550	55420
147	9636	55474
148	9721	55521
149	9774	55390
150	9828	55262
151	9889	55173
152	9955	55111
153	10008	54981
154	10066	54878
155	10126	54788
156	10185	54691
157	10240	54570
158	10295	54456
159	10348	54327
160	10403	54213
161	10454	54079
162	10513	53984
163	10568	53873
164	10625	53771
165	10686	53688
166	10751	53627
167	10802	53498
168	10853	53366
169	10907	53253
170	10956	53116
171	11036	53126
172	11099	53061
173	11158	52968
174	11238	52981
175	11302	52917
176	11351	52783
177	11400	52645
178	11452	52529
179	11520	52483
180	11578	52389
181	11677	52485
182	11811	52731
183	11939	52951
184	12118	53385
185	12348	54043
186	12556	54590
187	12703	54869
188	12854	55159
189	12961	55257
190	13022	55157
191	13097	55120
192	13153	54997
193	13233	54980
194	13290	54867
195	13370	54847
196	13481	54950
197	13583	55021
198	13673	55039
199	13768	55072
200	13881	55179
201	13954	55125
202	14030	55087
203	14133	55148
204	14235	55207
205	14344	55290
206	14440	55321
207	14538	55359
208	14611	55298
209	14697	55288
210	14800	55343
211	14888	55340
212	14960	55275
213	15047	55268
214	15151	55322
215	15264	55405
216	15380	55497
217	15446	55409
218	15509	55309
219	15562	55177
220	15629	55092
221	15693	54997
222	15796	55038
223	16071	55677
224	16265	56024
225	16449	56336
226	16565	56410
227	16633	56320
228	16698	56220
229	16774	56159
230	16849	56091
231	16970	56178
232	17165	56506
233	17330	56731
234	17486	56922
235	17575	56895
236	17722	57056
237	17900	57311
238	18098	57627
239	18400	58266
240	18610	58612
241	18802	58895
242	18918	58935
243	19017	58922
244	19119	58918
245	19239	58970
246	19381	59086
247	19466	59027
248	19548	58959
249	19696	59088
250	19907	59405
251	20097	59653
252	20253	59798
253	20395	59901
254	20473	59813
255	20549	59722
256	20647	59691
257	20736	59637
258	20848	59647
259	21022	59833
260	21142	59863
261	21248	59853
262	21376	59902
263	21496	59928
264	21580	59855
265	21656	59760
266	21726	59645
267	21823	59608
268	21878	59454
269	21965	59387
270	22043	59297
271	22136	59247
272	22226	59188
273	22321	59144
274	22481	59268
275	22641	59392
276	22829	59587
277	22965	59644
278	23028	59511
279	23081	59351
280	23143	59216
281	23215	59107
282	23336	59124
283	23602	59505
284	23852	59841
285	24003	59924
286	24226	60186
287	24401	60325
288	24525	60338
289	24600	60227
290	24669	60104
291	24738	59983
292	24800	59842
293	24860	59698
294	24909	59528
295	24950	59341
296	25011	59202
297	25099	59127
298	25214	59115
299	25289	59009
300	25362	58899
301	25442	58803
302	25500	58658
303	25555	58508
304	25612	58363
305	25658	58191
306	25703	58020
307	25759	57875
308	25809	57716
309	25852	57542
310	25892	57363
311	25929	57178
312	25976	57016
313	26015	56835
314	26055	56660
315	26097	56489
316	26150	56343
317	26204	56199
318	26244	56026
319	26288	55863
320	26328	55691
321	26369	55523
322	26409	55354
323	26453	55192
324	26504	55047
325	26555	54903
326	26603	54752
327	26644	54588
328	26692	54438
329	26744	54299
330	26794	54155
331	26848	54021
332	26888	53857
333	26931	53702
334	26975	53547
335	27021	53399
336	27067	53251
337	27103	53085
338	27140	52920
339	27178	52757
340	27219	52603
341	27268	52464
342	27367	52420
343	27489	52421
344	27555	52315
345	27668	52298
346	27725	52176
347	27776	52041
348	27840	51931
349	27898	51811
350	27963	51705
351	28007	51559
352	28052	51416
353	28102	51282
354	28155	51155
355	28204	51020
356	28252	50886
357	28300	50751
358	28346	50613
359	28396	50482
360	28443	50347
361	28490	50212
362	28563	50123
363	28620	50006
364	28669	49877
365	28725	49759
366	28781	49642
367	28831	49514
368	28881	49387
369	28928	49256
370	28977	49128
371	29030	49008
372	29095	48909
373	29153	48797
374	29213	48688
375	29275	48584
376	29325	48461
377	29372	48333
378	29421	48207
379	29491	48117
380	29619	48121
381	29796	48205
382	29964	48271
383	30028	48171
384	30084	48057
385	30146	47952
386	30219	47867
387	30291	47779
388	30346	47665
389	30396	47543
390	30473	47463
391	30523	47343
392	30573	47222
393	30630	47112
394	30681	46992
395	30731	46872
396	30784	46758
397	30841	46650
398	30883	46519
399	30924	46387
